Year,Стаття Кримінального Кодексу України,Одиниця виміру,Value
2015,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Усього кримінальних правопорушень (кількість),207.0
2016,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Усього кримінальних правопорушень (кількість),154.0
2017,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Усього кримінальних правопорушень (кількість),151.0
2018,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Усього кримінальних правопорушень (кількість),102.0
2019,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Усього кримінальних правопорушень (кількість),95.0
2020,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Усього кримінальних правопорушень (кількість),55.0
2021,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Усього кримінальних правопорушень (кількість),48.0
2022,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Усього кримінальних правопорушень (кількість),174.0
2023,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Усього кримінальних правопорушень (кількість),58.0
2015,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Рівень на 100 тис. населення,0.48
2016,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Рівень на 100 тис. населення,0.36
2017,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Рівень на 100 тис. населення,0.36
2018,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Рівень на 100 тис. населення,0.24
2019,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Рівень на 100 тис. населення,0.23
2020,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Рівень на 100 тис. населення,0.13
2021,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Рівень на 100 тис. населення,0.12
2022,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Рівень на 100 тис. населення,0.42
2023,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262",Рівень на 100 тис. населення,0.14
2015,"Незаконне поводження зі зброєю, бойовими припасами або вибуховими речовинами, ст.263",Усього кримінальних правопорушень (кількість),7409.0
2016,"Незаконне поводження зі зброєю, бойовими припасами або вибуховими речовинами, ст.263",Усього кримінальних правопорушень (кількість),6307.0
2017,"Незаконне поводження зі зброєю, бойовими припасами або вибуховими речовинами, ст.263",Усього кримінальних правопорушень (кількість),8002.0
2018,"Незаконне поводження зі зброєю, бойовими припасами або вибуховими речовинами, ст.263",Усього кримінальних правопорушень (кількість),7466.0
